text,label,merchant_family,split
SHELL GAS STATION,Transport,shell,train
SHELL FUEL,Transport,shell,train
SHELL SERVICE STATION,Transport,shell,train
GO TRANSIT,Transport,go_transit,train
GO TRAIN FARE,Transport,go_transit,train
METROLINX GO TRANSIT,Transport,go_transit,train
LYFT RIDE,Transport,lyft,validation
LYFT CANADA,Transport,lyft,validation
LYFT TRIP,Transport,lyft,validation
CITY PARKING,Transport,parking,test
MUNICIPAL PARKING,Transport,parking,test
PARKING METER,Transport,parking,test
SPOTIFY,Subscriptions,spotify,train
SPOTIFY PREMIUM,Subscriptions,spotify,train
SPOTIFY CANADA,Subscriptions,spotify,train
NETFLIX,Subscriptions,netflix,train
NETFLIX.COM,Subscriptions,netflix,train
NETFLIX MONTHLY,Subscriptions,netflix,train
APPLE.COM/BILL,Subscriptions,apple_bill,train
APPLE SERVICES,Subscriptions,apple_bill,train
APPLE MEDIA SERVICES,Subscriptions,apple_bill,train
ADOBE,Subscriptions,adobe,train
ADOBE CREATIVE CLOUD,Subscriptions,adobe,train
ADOBE SYSTEMS,Subscriptions,adobe,train
DISNEY PLUS,Subscriptions,disney,validation
DISNEYPLUS,Subscriptions,disney,validation
DISNEY STREAMING,Subscriptions,disney,validation
YOUTUBE PREMIUM,Subscriptions,youtube,test
YOUTUBE MEMBERSHIP,Subscriptions,youtube,test
GOOGLE YOUTUBE,Subscriptions,youtube,test
SHOPPERS DRUG MART,Other,shoppers_drug,train
SHOPPERS PHARMACY,Other,shoppers_drug,train
SHOPPERS RETAIL,Other,shoppers_drug,train
HOME DEPOT,Other,home_depot,train
HOME DEPOT CANADA,Other,home_depot,train
HOME HARDWARE PURCHASE,Other,home_depot,train
WINNERS,Other,winners,train
WINNERS HOMESENSE,Other,winners,train
WINNERS RETAIL,Other,winners,train
ROGERS COMMUNICATIONS,Other,rogers,train
ROGERS WIRELESS,Other,rogers,train
ROGERS INTERNET,Other,rogers,train
CINEPLEX,Other,cineplex,validation
CINEPLEX CINEMAS,Other,cineplex,validation
CINEPLEX MOVIE,Other,cineplex,validation
CITY DENTAL CLINIC,Other,dentist,test
DENTIST OFFICE,Other,dentist,test
DENTAL CARE PAYMENT,Other,dentist,test
UBER CANADA/UBER,Transport,uber,train
FANTUAN DELIVER,Food,fan_tuan,train
SPOTIFY P3 7.22_V,Subscriptions,spotify,train
UBERDIRECTCA_PA,Food,uber_direct,train
OBSIDIAN,Subscriptions,obsidian,train
FANDUEL CANADA,Other,fanduel,train
THE BEST SHOP,Other,best_shop,train
NEKO NAB,Other,neko_nab,train
INS MARKET #55,Other,ins_market,train
YEAH YEAH THAI,Food,yeah_yeah_thai,train
SEND E-TFR,Transfer,etransfer,train
E-TRANSFER ***AXS,Transfer,etransfer,train
E-TRANSFER ***AJK,Transfer,etransfer,train
SEND E-TFR ***UZQ,Transfer,etransfer,train
SEND E-TFR ***GTA,Transfer,etransfer,train
SEND E-TFR ***JHD,Transfer,etransfer,train
PAYPAL MSP,Transfer,paypal_transfer,train
PAYPAL MONEY SENT,Transfer,paypal_transfer,train
PAYPAL TRANSFER,Transfer,paypal_transfer,train
WIRE TRANSFER OUT,Transfer,wire_transfer,train
OUTGOING WIRE PAYMENT,Transfer,wire_transfer,train
BANK WIRE SENT,Transfer,wire_transfer,train
WISE MONEY TRANSFER,Transfer,wise_transfer,validation
WISE TRANSFER SENT,Transfer,wise_transfer,validation
WISE REMITTANCE,Transfer,wise_transfer,validation
WESTERN UNION,Transfer,western_union,test
WESTERN UNION TRANSFER,Transfer,western_union,test
WESTERN UNION MONEY SEND,Transfer,western_union,test
OLDNAVY.COM,Clothes,old_navy,train
OLD NAVY STORE,Clothes,old_navy,train
OLD NAVY ONLINE,Clothes,old_navy,train
UNIQLO,Clothes,uniqlo,train
UNIQLO CANADA,Clothes,uniqlo,train
UNIQLO CLOTHING,Clothes,uniqlo,train
H&M,Clothes,h_and_m,train
H&M STORE,Clothes,h_and_m,train
H AND M CLOTHING,Clothes,h_and_m,train
ZARA,Clothes,zara,train
ZARA CANADA,Clothes,zara,train
ZARA ONLINE,Clothes,zara,train
GAP,Clothes,gap,validation
GAP CANADA,Clothes,gap,validation
GAP CLOTHING,Clothes,gap,validation
ARITZIA,Clothes,aritzia,test
ARITZIA CANADA,Clothes,aritzia,test
ARITZIA CLOTHING,Clothes,aritzia,test
FanDuel CA,Other,fanduel,train
MATH COFFEE D,Food,math_coffee,train
UW TIM HORTONS,Food,campus_tims,validation
KAYAGUM KOREAN,Food,korean_restaurant,validation
EAT BKK THORN H,Food,thai_restaurant_2,test
WENDY#S #6620,Food,fast_food_wendys,test
POPEYES #12726,Food,fast_food_popeyes,test
UBER CANADA/UBE,Transport,uber_real,validation
UBER CAN REV 10/03,Transport,uber_real,validation
UBER * PENDING,Transport,uber_real,validation
OBSIDIAN.MD,Subscriptions,obsidian,train
E-TFR ***XXX EPAY,Transfer,etransfer_epay,validation
RECLAIM E-TFR,Transfer,etransfer_reclaim,test
BEST BUY MARKET,Other,electronics_retail,test
DHL EXPRESS ADC,Other,shipping,test
STEVE'S MUSIC S,Other,music_store,train
aliexpress,Other,online_marketplace,train
UP IN SMOKE SHO,Other,smoke_shop,train
UW ATHLETICS,Other,campus_athletics,train
OPS PAY,Income,payroll,train
INTEREST CREDIT,Income,interest,train
MOBILE DEPOSIT,Income,mobile_deposit,train
WS Investments INV,Transfer,brokerage_transfer,train
WEEKLY PAYROLL,Income,weekly pay,test
PAYROLL DEPOSIT,Income,salary,validation
TARGET T-5961,Other,bulk_other_debit_train_0,train
STOP PAYMENT FEE - 69/54,Other,bulk_other_debit_train_1,train
DENTAL365 8640 PARK DR NEW YORK 10001-5425NY USA,Other,bulk_other_debit_train_2,train
PAYPAL *AMWELL TOGIQG3PG4,Other,bulk_other_credit_train_3,train
AQUA AMERICA CABLE SVC WEB ID: ASRPQ83X,Other,bulk_other_debit_train_4,train
withdrawal from pg and e water,Other,bulk_other_debit_train_5,train
TWIN LIQUORS #2140 SEATTLE,Other,bulk_other_debit_train_6,train
DR. JACKSON CHIROPRACTIC,Other,bulk_other_debit_train_7,train
CLEAR SAN DIEGO,Other,bulk_other_debit_train_8,train
SPECTRUM UTIL PMT WEB ID: WM3UE2H1,Other,bulk_other_credit_train_9,train
LA FITNESS INC.,Other,bulk_other_debit_train_10,train
CVS - QUEENS,Other,bulk_other_debit_train_11,train
AFLAC INS,Other,bulk_other_debit_train_12,train
WITHDRAWAL FROM SPECTRUM PHONE,Other,bulk_other_debit_train_13,train
PAYPAL INST XFER ALASKA AIRLINES WEB ID: PAYPALSI77,Other,bulk_other_debit_train_14,train
ANNUAL FEE - 75/01,Other,bulk_other_debit_train_15,train
PAYPAL *VISIONWORKS,Other,bulk_other_debit_train_16,train
AMZN MKTP US*WCW0FNYT811,Other,bulk_other_debit_train_17,train
Kindle Unltd*6WAUNC67,Other,bulk_other_debit_train_18,train
TARGET T-4993,Other,bulk_other_debit_train_19,train
Amazon.com*VP8CSIWJO,Other,bulk_other_debit_train_20,train
AQUA AMERICA INTERNET WEB ID: ZKZDU4YJ,Other,bulk_other_debit_train_21,train
Clear*0588itz2ps,Other,bulk_other_debit_train_22,train
monthly service fee - 91/95,Other,bulk_other_debit_train_23,train
AWAY #200 LOS ANGELES,Other,bulk_other_debit_train_24,train
LENSCRAFTERS 6510 ELM RD SEATTLE 98101 WA USA,Other,bulk_other_debit_train_25,train
SPORT CLIPS*KJ2I5OA4AZ1H,Other,bulk_other_debit_train_26,train
SPECTRUM BILL PAY WEB ID: 6G2VRE3S,Other,bulk_other_debit_train_27,train
BLUEMERCURY 1142 MISSION AVE NEW YORK 10001-7749NY USA,Other,bulk_other_debit_train_28,train
FOREVER 21 #534,Other,bulk_other_debit_train_29,train
CRICKET ONLINE PMT WEB ID: TWSTDYBP,Other,bulk_other_debit_train_30,train
anthropologie 74898,Other,bulk_other_debit_train_31,train
Amazon.com*C1FQHB6USAP,Other,bulk_other_debit_train_32,train
RADISSON CO,Other,bulk_other_debit_train_33,train
LEMONADE 1203 MARKET RD BOSTON 02101 MA USA,Other,bulk_other_debit_train_34,train
MERCARI 7460 PARK RD MINNEAPOLIS 55401-4149MN USA,Other,bulk_other_debit_train_35,train
PYPL*GREAT CLIPS,Other,bulk_other_debit_train_36,train
STATE FARM 4521 UNIVERSITY CT LAS VEGAS 89101-3187NV USA,Other,bulk_other_debit_train_37,train
DR ROBINSON PSYCHIATRY,Other,bulk_other_debit_train_38,train
WIRE TRANSFER FEE - 94/73,Other,bulk_other_debit_train_39,train
PreApproved Payment Bill User Payment: HOMESERVE,Other,bulk_other_debit_train_40,train
DELTA AIR LINES*CGG547A6D70N,Other,bulk_other_debit_train_41,train
AMERICAN FAMILY 9519 CENTER PKWY BOSTON 02101-4817MA USA,Other,bulk_other_debit_train_42,train
SPIRIT AIRLINES 7259 ELM ST INDIANAPOLIS 46201 IN USA,Other,bulk_other_debit_train_43,train
TUESDAY MORNING - OAKLAND,Other,bulk_other_debit_train_44,train
PACIFIC LIFE 606 INDUSTRIAL WAY DALLAS 75201-9437TX USA,Other,bulk_other_debit_train_45,train
CRICKET CABLE SVC WEB ID: 2TMP4EW6,Other,bulk_other_debit_train_46,train
PAYPAL INST XFER SHUTTERFLY WEB ID: PAYPALSI06,Other,bulk_other_credit_train_47,train
TSA PRECHECK DENVER,Other,bulk_other_debit_train_48,train
STARLINK PHONE SVC WEB ID: PMS1J4DG,Other,bulk_other_debit_train_49,train
paypal *pypl betterhelp,Other,bulk_other_debit_train_50,train
Travelers 9836 Center St Hayward 94541-9467ca Usa,Other,bulk_other_debit_train_51,train
withdrawal from republic services recycling,Other,bulk_other_debit_train_52,train
INTERNATIONAL WIRE FEE - 03/03,Other,bulk_other_debit_train_53,train
WASTE CONNECTIONS WASTE SVC,Other,bulk_other_debit_train_54,train
AMZN MKTP US*UXK3WRO5CPJ,Other,bulk_other_debit_train_55,train
FACEBOOK MARKETPLACE 6482 MAIN ST NEWARK07101 NJ USA,Other,bulk_other_debit_train_56,train
24 HOUR FITNESS - SAN DIEGO,Other,bulk_other_debit_train_57,train
SUNPOWER SOLAR PMT WEB ID: 935RH7JV,Other,bulk_other_debit_train_58,train
RITE AID 2487 MISSION PKWY NEW YORK 10001-5078NY USA,Other,bulk_other_credit_train_59,train
WYNDHAM 9407 OAK BLVD SALT LAKE CITY 84101-2601UT USA,Other,bulk_other_debit_train_60,train
AMAZON MKTPL*TH4WTZIEXFY,Other,bulk_other_debit_train_61,train
PAYPAL *ymca,Other,bulk_other_debit_train_62,train
Visionworks #217 Salt Lake City,Other,bulk_other_debit_train_63,train
Blue Cross Home Premium,Other,bulk_other_debit_train_64,train
CHOICE HOME WARRANTY 8558 MISSION LN LAS VEGAS 89101-9531NV USA,Other,bulk_other_debit_train_65,train
DOLLAR RENT A CAR - DALLAS,Other,bulk_other_debit_train_66,train
PAYPAL INST XFER SOUTHWEST AIRLINESWEB ID: PAYPALSI17,Other,bulk_other_debit_train_67,train
WIRE TRANSFER FEE - 09/10,Other,bulk_other_debit_train_68,train
SALLY BEAUTY; Charge,Other,bulk_other_debit_train_69,train
BED BATH & BEYOND 4209 INDUSTRIAL PKWY NASHVILLE 37201 TN USA,Other,bulk_other_debit_train_70,train
OFFERUP 5629 BROADWAY LN BOSTON 02101-6964MA USA,Other,bulk_other_debit_train_71,train
Kindle Unltd*TKXJBTQA0,Other,bulk_other_debit_train_72,train
PAYPAL *ALASKA AIRLINES,Other,bulk_other_debit_train_73,train
MUNICIPAL WATER PHONE SVC WEB ID: KDPL6RD7,Other,bulk_other_debit_train_74,train
FLORIDA POWER BILL PAY WEB ID: P3I3U3C8,Other,bulk_other_debit_train_75,train
ATM SERVICE CHARGE - 40/53,Other,bulk_other_debit_train_76,train
express checkout payment: gold's gym,Other,bulk_other_debit_train_77,train
ALLSTATE PREMIUM,Other,bulk_other_debit_train_78,train
DIGNITY HEALTH MEDICAL PMT WEB ID: BRLQ9PYD,Other,bulk_other_debit_train_79,train
DERMALOGICA #986 SEATTLE,Other,bulk_other_debit_train_80,train
LIQUOR STORE #3091 QUEENS,Other,bulk_other_debit_train_81,train
MINT MOBILE ELECTRIC WEB ID: YEXCG6X3,Other,bulk_other_debit_train_82,train
CENTURION LOUNGE OAKLAND,Other,bulk_other_debit_train_83,train
BLUEMERCURY 6581 UNIVERSITY BLVD QUEENS 11101-7290NY USA,Other,bulk_other_debit_train_84,train
PRICELINE #405 QUEENS,Other,bulk_other_debit_train_85,train
AIRBNB; SUBSCRIPTION,Other,bulk_other_debit_train_86,train
TRAVELERS 916 PARK DR CHARLOTTE 28201-7734NC USA,Other,bulk_other_debit_train_87,train
AQUA AMERICA AUTOPAY WEB ID: UZ1ODYMN,Other,bulk_other_debit_train_88,train
ANN TAYLOR #669,Other,bulk_other_debit_train_89,train
OFFERUP 7986 CENTER AVE MINNEAPOLIS 55401-7993MN USA,Other,bulk_other_debit_train_90,train
AIRPORT PARKING SACRAMENTO,Other,bulk_other_debit_train_91,train
NATIONWIDE 8552 BROADWAY BLVD QUEENS 11101 NY USA,Other,bulk_other_debit_train_92,train
ROBINSON OPTOMETRY,Other,bulk_other_debit_train_93,train
Amazon.com*5Y4E3Y15,Other,bulk_other_debit_train_94,train
PAYPAL INST XFER TALKSPACE WEB ID: PAYPALSI03,Other,bulk_other_debit_train_95,train
COMFORT DENTAL 4583 MAIN LN SALT LAKE CITY84101 UT USA,Other,bulk_other_debit_train_96,train
ANYTIME FITNESS 5384 MARKET ST LAS VEGAS 89101-4132NV USA,Other,bulk_other_debit_train_97,train
WYNDHAM 4615 CENTER CT NEW YORK 10001 NY USA,Other,bulk_other_debit_train_98,train
ULTA BEAUTY 5415 MAIN BLVD CHARLOTTE 28201 NC USA,Other,bulk_other_debit_train_99,train
ERIE INSURANCE BILLING,Other,bulk_other_debit_train_100,train
AMERICAN FAMILY INS PREMIUM PPD ID: 2053382163,Other,bulk_other_debit_train_101,train
AMAZON MARKTPLACE*POYA4IZX,Other,bulk_other_debit_train_102,train
WAYFAIR #50592 NEW YORK,Other,bulk_other_debit_train_103,train
SPECTRUM INTERNET WEB ID: 1NPWHXO6,Other,bulk_other_debit_train_104,train
INACTIVITY FEE - 57/45,Other,bulk_other_debit_train_105,train
ACH RETURN FEE - 50/25,Other,bulk_other_debit_train_106,train
ATM SURCHARGE - 84/64,Other,bulk_other_debit_train_107,train
TARGET T-8602,Other,bulk_other_debit_train_108,train
BUYER PAYMENT: HERTZ,Other,bulk_other_debit_train_109,train
mint mobile 4049 center ln raleigh27601 nc usa,Other,bulk_other_debit_train_110,train
GLOBAL ENTRY INC.,Other,bulk_other_debit_train_111,train
Mac Cosmetics 3151 Mission Blvd Orlando 32801-2986fl Usa,Other,bulk_other_debit_train_112,train
liberty mutual 2803 elm ave denver 80201-4570co usa,Other,bulk_other_debit_train_113,train
WYNDHAM.COM,Other,bulk_other_debit_train_114,train
VRBO #3404 RALEIGH,Other,bulk_other_debit_train_115,train
YMCA CORP,Other,bulk_other_debit_train_116,train
DR RAMIREZ PSYCHIATRY,Other,bulk_other_debit_train_117,train
Roosters 6557 Industrial Rd Boston 02101-3697ma Usa,Other,bulk_other_debit_train_118,train
AMZN MKTP US*1YJOJYNE,Other,bulk_other_debit_train_119,train
PAYPAL INST XFER HERTZ WEB ID: PAYPALSI66,Other,bulk_other_debit_train_120,train
SEPHORA*0PA3OLJVR,Other,bulk_other_debit_train_121,train
Express Checkout Payment: Mdlive,Other,bulk_other_debit_train_122,train
CLEVELAND CLINIC MEDICAL PMT WEB ID: 57OK87PB,Other,bulk_other_debit_train_123,train
COMCAST AUTOPAY WEB ID: 333DPLQ6,Other,bulk_other_debit_train_124,train
DR GONZALEZ CARDIOLOGY,Other,bulk_other_debit_train_125,train
Msc Cruises; Billing,Other,bulk_other_debit_train_126,train
BISHOPS CUT; BILLING,Other,bulk_other_debit_train_127,train
PAYPAL INST XFER DOLLAR RENT A CARWEB ID: PAYPALSI13,Other,bulk_other_debit_train_128,train
ANTHEM 2919 OAK AVE AUSTIN 78701-5380TX USA,Other,bulk_other_debit_train_129,train
monthly service fee - 33/69,Other,bulk_other_debit_train_130,train
PAYPAL *PYPL mdlive,Other,bulk_other_debit_train_131,train
PAYPAL INST XFER EQUINOX WEB ID: PAYPALSI78,Other,bulk_other_debit_train_132,train
EVERSOURCE PHONE SVC WEB ID: IHXVGPZE,Other,bulk_other_debit_train_133,train
1-800-CONTACTS 7575 MAIN LN MINNEAPOLIS 55401-9123MN USA,Other,bulk_other_debit_train_134,train
CRICKET BILL PAY WEB ID: ZZO9ONCV,Other,bulk_other_debit_train_135,train
ORANGETHEORY 1115 OAK PKWY MIAMI 33101-3635FL USA,Other,bulk_other_debit_train_136,train
ULTA BEAUTY - SAN DIEGO,Other,bulk_other_debit_train_137,train
Visionworks - Minneapolis,Other,bulk_other_debit_train_138,train
LIBERTY MUTUAL 4955 UNIVERSITY ST NEWARK 07101-4734NJ USA,Other,bulk_other_debit_train_139,train
PAYPAL *PYPL TIKTOK SHOP,Other,bulk_other_debit_train_140,train
Bestow 6479 Market Blvd Las Vegas89101 Nv Usa,Other,bulk_other_debit_train_141,train
Abc Fine Wine 18927,Other,bulk_other_debit_train_142,train
WORLD MARKET - SEATTLE,Other,bulk_other_debit_train_143,train
NAMECHEAP - HOUSTON,Other,bulk_other_credit_train_144,train
INTERNATIONAL WIRE FEE - 93/90,Other,bulk_other_debit_train_145,train
MAC COSMETICS INC,Other,bulk_other_debit_train_146,train
Minimum Balance Fee - 55/06,Other,bulk_other_debit_train_147,train
target t-4206,Other,bulk_other_debit_train_148,train
MINT MOBILE 4740 BROADWAY PKWY SEATTLE 98101 WA USA,Other,bulk_other_debit_train_149,train
TARGET T-4840,Other,bulk_other_debit_train_150,train
AMZN DIGITAL*H8O46RIG,Other,bulk_other_credit_train_151,train
PREAUTHORIZED WITHDRAWAL TO ASPEN DENTAL,Other,bulk_other_debit_train_152,train
BLUEMERCURY; BILLING,Other,bulk_other_debit_train_153,train
STAPLES - INDIANAPOLIS,Other,bulk_other_debit_train_154,train
DOCTOR ON DEMAND,Other,bulk_other_debit_train_155,train
TARGET T-4177,Other,bulk_other_debit_train_156,train
Withdrawal From Centurylink Phone,Other,bulk_other_debit_train_157,train
LEMONADE INS PREMIUM PPD ID: 5663672648,Other,bulk_other_debit_train_158,train
PLANET FITNESS 9725 UNIVERSITY LN UNION CITY 94587-3175CA USA,Other,bulk_other_debit_train_159,train
WASTE MANAGEMENT COLLECTION WEB ID: YC49W7JW,Other,bulk_other_debit_train_160,train
DERMALOGICA 7877 PARK BLVD CHICAGO60601 IL USA,Other,bulk_other_debit_train_161,train
HOMESITE 329 UNIVERSITY PKWY LAS VEGAS89101 NV USA,Other,bulk_other_debit_train_162,train
DOUBLETREE #3385 CHARLOTTE,Other,bulk_other_debit_train_163,train
international wire fee - 31/52,Other,bulk_other_debit_train_164,train
ANNUAL FEE - 58/91,Other,bulk_other_debit_train_165,train
PRICELINE 109 MARKET CT SALT LAKE CITY84101 UT USA,Other,bulk_other_debit_train_166,train
PREAUTHORIZED WITHDRAWAL TO SPORT CLIPS,Other,bulk_other_debit_train_167,train
STATE FARM INS,Other,bulk_other_debit_train_168,train
AIRPORT PARKING.COM,Other,bulk_other_debit_train_169,train
radisson; subscription,Other,bulk_other_debit_train_170,train
AMERICAN AIRLINES 3396 MAIN WAY HOUSTON 77001 TX USA,Other,bulk_other_debit_train_171,train
DR SANCHEZ DENTAL,Other,bulk_other_debit_train_172,train
PAYPAL INST XFER BEST BUY WEB ID: PAYPALSI26,Other,bulk_other_debit_train_173,train
EXPEDIA 2545 MARKET ST SAN FRANCISCO 94102-6475CA USA,Other,bulk_other_credit_train_174,train
Roosters 7919 Main Ct Sacramento 95814-2783ca Usa,Other,bulk_other_debit_train_175,train
ATM SERVICE CHARGE - 93/14,Other,bulk_other_debit_train_176,train
Account Closure Fee - 20/87,Other,bulk_other_debit_train_177,train
ELEMENTS MASSAGE; SERVICE,Other,bulk_other_debit_train_178,train
PreApproved Payment Bill User Payment: HOMESITE,Other,bulk_other_debit_train_179,train
Sunpower Solar Payment,Other,bulk_other_debit_train_180,train
WIX #1164 TAMPA,Other,bulk_other_credit_train_181,train
MUNICIPAL WATER 8303 OAK PKWY AUSTIN78701 TX USA,Other,bulk_other_debit_train_182,train
TRAVELERS 9463 BROADWAY PKWY FREMONT 94536-4686CA USA,Other,bulk_other_debit_train_183,train
DR. GARCIA DENTAL,Other,bulk_other_credit_train_184,train
GOOGLE FIBER ONLINE PMT WEB ID: S9VNQP06,Other,bulk_other_debit_train_185,train
SUBSCRIPTION PAYMENT: AWAY,Other,bulk_other_debit_train_186,train
MONTHLY SERVICE FEE - 59/49,Other,bulk_other_debit_train_187,train
PP*VRBO,Other,bulk_other_debit_train_188,train
Delta Air Lines; Purchase,Other,bulk_other_debit_train_189,train
PAYPAL *AMWELL,Other,bulk_other_debit_train_190,train
CERAVE 837 BROADWAY PKWY NEWARK07101 NJ USA,Other,bulk_other_debit_train_191,train
TRIPADVISOR LLC,Other,bulk_other_debit_train_192,train
TARGET T-1344,Other,bulk_other_debit_train_193,train
ULTA BEAUTY #9059 AUSTIN,Other,bulk_other_debit_train_194,train
TRANSAMERICA 6948 BROADWAY DR RALEIGH 27601-3896NC USA,Other,bulk_other_debit_train_195,train
EXPEDIA 4434 INDUSTRIAL PKWY PHOENIX 85001-7566AZ USA,Other,bulk_other_debit_train_196,train
AIRPORT PARKING MINNEAPOLIS,Other,bulk_other_debit_train_197,train
VIVINT SOLAR SOLAR PMT WEB ID: F88EAZUZ,Other,bulk_other_debit_train_198,train
PreApproved Payment Bill User Payment: AFLAC,Other,bulk_other_debit_train_199,train
PAYPAL *ROOSTERS QTA3NTY382,Other,bulk_other_debit_train_200,train
NATIONAL CAR RENTAL*OPK82934XXDZ,Other,bulk_other_debit_train_201,train
24 HOUR FITNESS 5070 ELM DR SACRAMENTO95814 CA USA,Other,bulk_other_debit_train_202,train
PAYPAL INST XFER HERTZ WEB ID: PAYPALSI75,Other,bulk_other_debit_train_203,train
RADISSON - OAKLAND,Other,bulk_other_debit_train_204,train
PP*DELTA AIR LINES,Other,bulk_other_debit_train_205,train
WIRE TRANSFER FEE - 94/71,Other,bulk_other_debit_train_206,train
MERCARI 2414 MARKET ST COLUMBUS43201 OH USA,Other,bulk_other_debit_train_207,train
wyndham 8688 center ct salt lake city 84101 ut usa,Other,bulk_other_debit_train_208,train
MINT MOBILE EBILL WEB ID: RJWJJVBF,Other,bulk_other_credit_train_209,train
DAILY CASH ADJUSTMENT - 12/35,Other,bulk_other_credit_train_210,train
wire transfer fee - 13/25,Other,bulk_other_debit_train_211,train
Withdrawal From Frontier Water,Other,bulk_other_debit_train_212,train
Facebook Marketplace 6670 Oak Rd Fremont94536 Ca Usa,Other,bulk_other_debit_train_213,train
WATER UTILITY UTIL PMT WEB ID: UL09KNCZ,Other,bulk_other_debit_train_214,train
MINT MOBILE BILL PAY WEB ID: BAW7GGN3,Other,bulk_other_debit_train_215,train
CRUNCH FITNESS 9828 MISSION LN UNION CITY 94587-9112CA USA,Other,bulk_other_debit_train_216,train
supercuts; service,Other,bulk_other_debit_train_217,train
ATM FEE - 72/26,Other,bulk_other_debit_train_218,train
PAYPAL *WISH.COM,Other,bulk_other_debit_train_219,train
AMAZON MKTPL*BWH0NUVW,Other,bulk_other_credit_train_220,train
VISIBLE 9712 INDUSTRIAL BLVD FREMONT 94536-4012CA USA,Other,bulk_other_debit_train_221,train
AFLAC 5445 MAIN ST COLUMBUS 43201-6559OH USA,Other,bulk_other_debit_train_222,train
STATE FARM INSPAYMENT PPD ID: 9717329319,Other,bulk_other_debit_train_223,train
LEWIS CHIROPRACTIC,Other,bulk_other_debit_train_224,train
AQUA AMERICA PHONE SVC WEB ID: 7NH6NFUO,Other,bulk_other_debit_train_225,train
SPORT CLIPS 1428 MISSION AVE PORTLAND 97201 OR USA,Other,bulk_other_debit_train_226,train
HOLIDAY INN; BILLING,Other,bulk_other_debit_train_227,train
AMAZON MKTPL*VWSWG4XBKQZ,Other,bulk_other_debit_train_228,train
NEW YORK LIFE BILLING PPD ID: 2872179055,Other,bulk_other_debit_train_229,train
PAYMENT TO: SPEC'S,Other,bulk_other_debit_train_230,train
PAYPAL INST XFER HAMPTON INN WEB ID: PAYPALSI80,Other,bulk_other_debit_train_231,train
PYPL*YMCA,Other,bulk_other_debit_train_232,train
CORPORATE FILINGS 7932,Other,bulk_other_debit_train_233,train
pypl *ulta salon,Other,bulk_other_debit_train_234,train
waste connections collection,Other,bulk_other_debit_train_235,train
